Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     13.01     0.00      323     0.00     0.00  gapmodel_
  0.00     13.01     0.00      309     0.00     0.00  __output_MOD_output_1d_ygraph
  0.00     13.01     0.00      268     0.00     0.00  __utils_MOD_real_to_string
  0.00     13.01     0.00      201     0.00     0.14  odeint_
  0.00     13.01     0.00      200     0.00     0.01  geteost_
  0.00     13.01     0.00      100     0.00     0.00  compute_shear_
  0.00     13.01     0.00      100     0.00     2.63  cvtot_
  0.00     13.01     0.00      100     0.00     1.72  emiss_
  0.00     13.01     0.00      100     0.00     0.00  fluxesb_
  0.00     13.01     0.00       76     0.00     0.00  funa_
  0.00     13.01     0.00       11     0.00     0.00  __output_MOD_output_magnetic
  0.00     13.01     0.00       11     0.00     0.00  __output_MOD_output_magnetic_field
  0.00     13.01     0.00       11     0.00     0.00  bwrite_
  0.00     13.01     0.00       10     0.00     0.00  __output_MOD_output_temperature
  0.00     13.01     0.00       10     0.00     0.00  __output_MOD_output_temperature_cooling_curve
  0.00     13.01     0.00       10     0.00     0.00  __output_MOD_output_temperature_map
  0.00     13.01     0.00        1     0.00    30.00  __grid_MOD_build_structure
  0.00     13.01     0.00        1     0.00     0.00  __grid_MOD_output_structure
  0.00     13.01     0.00        1     0.00     0.00  __input_params_MOD_read_input_file
  0.00     13.01     0.00        1     0.00     0.00  __legpol_MOD_compute_legendre_polynomials
  0.00     13.01     0.00        1     0.00     0.00  __legpol_MOD_get_frel
  0.00     13.01     0.00        1     0.00     0.00  __legpol_MOD_getbl_init
  0.00     13.01     0.00        1     0.00     0.00  __math_MOD_compute_gausslegendre_weights
  0.00     13.01     0.00        1     0.00     0.10  binit_
  0.00     13.01     0.00        1     0.00     0.00  btopology_
  0.00     13.01     0.00        1     0.00     0.00  getmu_
  0.00     13.01     0.00        1     0.00     0.01  init_eos_tab_
  0.00     13.01     0.00        1     0.00    28.96  solve_tov_structure_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.08% of 13.01 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.8    0.00   12.99                 MAIN__ [1]
                0.03    9.20     100/100         difdrv_ [2]
                0.01    2.28     100/100         tevol_ [11]
                0.34    0.66    1001/1001        __magnetic_evolution_MOD_magnetic_evol [16]
                0.00    0.26     100/100         cvtot_ [20]
                0.00    0.17     100/100         emiss_ [26]
                0.00    0.03       1/1           __grid_MOD_build_structure [42]
                0.00    0.00       1/1           binit_ [76]
                0.00    0.00       1/5836        __grid_MOD_build_grid [41]
                0.00    0.00    1001/1001        pevol_ [107]
                0.00    0.00     100/100         compute_shear_ [109]
                0.00    0.00     100/100         fluxesb_ [110]
                0.00    0.00      11/11          __output_MOD_output_magnetic [171]
                0.00    0.00      11/11          bwrite_ [112]
                0.00    0.00      10/10          __output_MOD_output_temperature [173]
                0.00    0.00       1/1           __input_params_MOD_read_input_file [177]
                0.00    0.00       1/1           __legpol_MOD_get_frel [179]
                0.00    0.00       1/1           __legpol_MOD_compute_legendre_polynomials [178]
                0.00    0.00       1/1           __legpol_MOD_getbl_init [180]
-----------------------------------------------
                0.03    9.20     100/100         MAIN__ [1]
[2]     71.0    0.03    9.20     100         difdrv_ [2]
                0.00    9.14  375000/375000      potekhin2019_ [3]
                0.06    0.00  615000/615000      en_cond_ [34]
                0.00    0.00  375000/375000      get_zimp_ [90]
-----------------------------------------------
                0.00    9.14  375000/375000      difdrv_ [2]
[3]     70.3    0.00    9.14  375000         potekhin2019_ [3]
                0.00    8.98  110000/110000      condconv_ [4]
                0.03    0.10  265000/265000      condegin_ [29]
                0.00    0.03  265000/265000      condin_ [38]
-----------------------------------------------
                0.00    8.98  110000/110000      potekhin2019_ [3]
[4]     69.0    0.00    8.98  110000         condconv_ [4]
                0.01    8.97  110000/110000      conduct_ [5]
-----------------------------------------------
                0.01    8.97  110000/110000      condconv_ [4]
[5]     69.0    0.01    8.97  110000         conduct_ [5]
                0.90    7.78  110000/110000      thav18_ [6]
                0.00    0.26  110000/110000      chempot_ [21]
                0.03    0.00  110000/121432      taueesy_ [40]
                0.00    0.00   58633/58633       chemfit_ [98]
-----------------------------------------------
                0.90    7.78  110000/110000      conduct_ [5]
[6]     66.7    0.90    7.78  110000         thav18_ [6]
                0.95    6.83 42956135/42956135     thavi18_ [7]
-----------------------------------------------
                0.95    6.83 42956135/42956135     thav18_ [6]
[7]     59.8    0.95    6.83 42956135         thavi18_ [7]
                2.22    2.20 42703370/42703370     coul19_ [8]
                0.22    2.20 42703370/42703370     coul18i_ [10]
-----------------------------------------------
                2.22    2.20 42703370/42703370     thavi18_ [7]
[8]     33.9    2.22    2.20 42703370         coul19_ [8]
                1.21    0.99 42703370/85406740     coulan3_ [9]
-----------------------------------------------
                1.21    0.99 42703370/85406740     coul18i_ [10]
                1.21    0.99 42703370/85406740     coul19_ [8]
[9]     33.7    2.41    1.98 85406740         coulan3_ [9]
                1.98    0.00 85399884/87519884     expint_ [14]
-----------------------------------------------
                0.22    2.20 42703370/42703370     thavi18_ [7]
[10]    18.6    0.22    2.20 42703370         coul18i_ [10]
                1.21    0.99 42703370/85406740     coulan3_ [9]
-----------------------------------------------
                0.01    2.28     100/100         MAIN__ [1]
[11]    17.6    0.01    2.28     100         tevol_ [11]
                0.12    2.16     100/100         __math_MOD_solvtb [12]
-----------------------------------------------
                0.12    2.16     100/100         tevol_ [11]
[12]    17.5    0.12    2.16     100         __math_MOD_solvtb [12]
                0.09    2.07    9800/9800        __math_MOD_getugam [13]
-----------------------------------------------
                0.09    2.07    9800/9800        __math_MOD_solvtb [12]
[13]    16.6    0.09    2.07    9800         __math_MOD_getugam [13]
                1.57    0.00  499800/499800      __math_MOD_lubksb [15]
                0.50    0.00    9800/9800        __math_MOD_ludcmp [17]
-----------------------------------------------
                0.01    0.00  530000/87519884     condin_ [38]
                0.04    0.00 1590000/87519884     coulan2_ [33]
                1.98    0.00 85399884/87519884     coulan3_ [9]
[14]    15.6    2.03    0.00 87519884         expint_ [14]
-----------------------------------------------
                1.57    0.00  499800/499800      __math_MOD_getugam [13]
[15]    12.1    1.57    0.00  499800         __math_MOD_lubksb [15]
-----------------------------------------------
                0.34    0.66    1001/1001        MAIN__ [1]
[16]     7.7    0.34    0.66    1001         __magnetic_evolution_MOD_magnetic_evol [16]
                0.48    0.00    5005/5006        curl_phi_ [18]
                0.16    0.00    3003/3003        curl_pol_ [27]
                0.02    0.00    1001/1001        vacuumbc_ [54]
                0.00    0.00    1001/1001        __legpol_MOD_getbl [167]
-----------------------------------------------
                0.50    0.00    9800/9800        __math_MOD_getugam [13]
[17]     3.8    0.50    0.00    9800         __math_MOD_ludcmp [17]
-----------------------------------------------
                0.00    0.00       1/5006        binit_ [76]
                0.48    0.00    5005/5006        __magnetic_evolution_MOD_magnetic_evol [16]
[18]     3.7    0.48    0.00    5006         curl_phi_ [18]
-----------------------------------------------
                0.02    0.24  495000/495000      cvtot_ [20]
[19]     2.0    0.02    0.24  495000         cv_func_ [19]
                0.00    0.22  185000/185000      eosmag_ [24]
