Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.08     0.00      649     0.00     0.00  gapmodel_
  0.00     14.08     0.00      414     0.00     0.01  derivs_
  0.00     14.08     0.00      401     0.00     0.14  odeint_
  0.00     14.08     0.00      400     0.00     0.01  geteost_
  0.00     14.08     0.00      341     0.00     0.00  __utils_MOD_get_free_unit
  0.00     14.08     0.00      309     0.00     0.00  __output_MOD_output_1d_ygraph
  0.00     14.08     0.00      268     0.00     0.00  __utils_MOD_real_to_string
  0.00     14.08     0.00      150     0.00     0.00  funa_
  0.00     14.08     0.00      100     0.00     0.00  compute_shear_
  0.00     14.08     0.00      100     0.00     7.08  emiss_
  0.00     14.08     0.00      100     0.00     0.00  fluxesb_
  0.00     14.08     0.00       11     0.00     0.91  __output_MOD_output_magnetic
  0.00     14.08     0.00       10     0.00     0.00  __output_MOD_output_temperature
  0.00     14.08     0.00       10     0.00     0.00  __output_MOD_output_temperature_cooling_curve
  0.00     14.08     0.00       10     0.00     0.00  __output_MOD_output_temperature_map
  0.00     14.08     0.00        1     0.00    60.00  __grid_MOD_build_structure
  0.00     14.08     0.00        1     0.00     0.00  __grid_MOD_output_structure
  0.00     14.08     0.00        1     0.00     0.00  __input_params_MOD_read_input_file
  0.00     14.08     0.00        1     0.00     0.00  __legpol_MOD_compute_legendre_polynomials
  0.00     14.08     0.00        1     0.00     0.00  __legpol_MOD_get_frel
  0.00     14.08     0.00        1     0.00     0.00  __legpol_MOD_getbl_init
  0.00     14.08     0.00        1     0.00     0.00  __math_MOD_compute_gausslegendre_weights
  0.00     14.08     0.00        1     0.00     0.35  binit_
  0.00     14.08     0.00        1     0.00     0.00  btopology_
  0.00     14.08     0.00        1     0.00     0.00  getmu_
  0.00     14.08     0.00        1     0.00     0.01  init_eos_tab_
  0.00     14.08     0.00        1     0.00    57.80  solve_tov_structure_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.07% of 14.08 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.9    0.01   14.05                 MAIN__ [1]
                0.04    5.01     100/100         tevol_ [2]
                1.22    2.56    1001/1001        __magnetic_evolution_MOD_magnetic_evol [5]
                0.07    3.67     100/100         difdrv_ [6]
                0.00    0.71     100/100         emiss_ [20]
                0.02    0.67     100/100         cvtot_ [21]
                0.00    0.06       1/1           __grid_MOD_build_structure [45]
                0.00    0.01      11/11          __output_MOD_output_magnetic [83]
                0.01    0.00      11/11          bwrite_ [80]
                0.00    0.00       1/1           binit_ [88]
                0.00    0.00       1/10939       __grid_MOD_build_grid [44]
                0.00    0.00    1001/1001        pevol_ [108]
                0.00    0.00     100/100         compute_shear_ [111]
                0.00    0.00     100/100         fluxesb_ [112]
                0.00    0.00      10/10          __output_MOD_output_temperature [173]
                0.00    0.00       1/1           __input_params_MOD_read_input_file [177]
                0.00    0.00       1/1           __legpol_MOD_get_frel [179]
                0.00    0.00       1/1           __legpol_MOD_compute_legendre_polynomials [178]
                0.00    0.00       1/1           __legpol_MOD_getbl_init [180]
-----------------------------------------------
                0.04    5.01     100/100         MAIN__ [1]
[2]     35.9    0.04    5.01     100         tevol_ [2]
                0.45    4.56     100/100         __math_MOD_solvtb [3]
-----------------------------------------------
                0.45    4.56     100/100         tevol_ [2]
[3]     35.6    0.45    4.56     100         __math_MOD_solvtb [3]
                0.17    4.39   19800/19800       __math_MOD_getugam [4]
-----------------------------------------------
                0.17    4.39   19800/19800       __math_MOD_solvtb [3]
[4]     32.4    0.17    4.39   19800         __math_MOD_getugam [4]
                3.08    0.00 1009800/1009800     __math_MOD_lubksb [10]
                1.31    0.00   19800/19800       __math_MOD_ludcmp [15]
-----------------------------------------------
                1.22    2.56    1001/1001        MAIN__ [1]
[5]     26.8    1.22    2.56    1001         __magnetic_evolution_MOD_magnetic_evol [5]
                1.76    0.00    5005/5006        curl_phi_ [14]
                0.75    0.00    3003/3003        curl_pol_ [18]
                0.05    0.00    1001/1001        vacuumbc_ [51]
                0.00    0.00    1001/1001        __legpol_MOD_getbl [169]
-----------------------------------------------
                0.07    3.67     100/100         MAIN__ [1]
[6]     26.6    0.07    3.67     100         difdrv_ [6]
                0.02    3.49  745000/745000      potekhin2019_ [7]
                0.06    0.09 1245000/1245000     en_cond_ [33]
                0.01    0.00  745000/745000      get_zimp_ [76]
-----------------------------------------------
                0.02    3.49  745000/745000      difdrv_ [6]
[7]     24.9    0.02    3.49  745000         potekhin2019_ [7]
                0.00    3.23  220000/220000      condconv_ [8]
                0.01    0.16  525000/525000      condegin_ [29]
                0.03    0.06  525000/525000      condin_ [40]
-----------------------------------------------
                0.00    3.23  220000/220000      potekhin2019_ [7]
[8]     22.9    0.00    3.23  220000         condconv_ [8]
                0.03    3.20  220000/220000      conduct_ [9]
-----------------------------------------------
                0.03    3.20  220000/220000      condconv_ [8]
[9]     22.9    0.03    3.20  220000         conduct_ [9]
                0.31    2.25  220000/220000      thav18_ [11]
                0.00    0.64  220000/220000      chempot_ [23]
                0.00    0.00  220000/237220      taueesy_ [95]
                0.00    0.00  114925/114925      chemfit_ [97]
-----------------------------------------------
                3.08    0.00 1009800/1009800     __math_MOD_getugam [4]
