Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     38.63     0.00    46362     0.00     0.00  fscrliq8_
  0.00     38.63     0.00    46362     0.00     0.00  magnion_
  0.00     38.63     0.00    46362     0.00     0.00  qdmag_
  0.00     38.63     0.00    25326     0.00     0.00  funa_
  0.00     38.63     0.00    22562     0.00     0.00  fermi10_
  0.00     38.63     0.00    18748     0.00     0.00  blin9_
  0.00     38.63     0.00    18654     0.00     0.00  blin9c_
  0.00     38.63     0.00     3916     0.00     0.00  blin9b_
  0.00     38.63     0.00     1003     0.00     0.06  gauleg_
  0.00     38.63     0.00     1002     0.00     0.13  boundary_
  0.00     38.63     0.00     1002     0.00     0.00  getbl_
  0.00     38.63     0.00     1001     0.00     0.00  pevol_
  0.00     38.63     0.00      316     0.00     0.00  gapmodel_
  0.00     38.63     0.00      100     0.00     4.86  cvtot_
  0.00     38.63     0.00      100     0.00     0.00  fluxesb_
  0.00     38.63     0.00       94     0.00     0.00  blin9a_
  0.00     38.63     0.00        1     0.00     0.00  bgrid_
  0.00     38.63     0.00        1     0.00     0.38  binit_
  0.00     38.63     0.00        1     0.00     0.00  binit_options_
  0.00     38.63     0.00        1     0.00     0.00  getbl_init_
  0.00     38.63     0.00        1     0.00     0.00  getmu_
  0.00     38.63     0.00        1     0.00     0.00  input_
  0.00     38.63     0.00        1     0.00     0.00  legpol_
  0.00     38.63     0.00        1     0.00     0.00  mdgeom_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 38.63 seconds

index % time    self  children    called     name
